rs,name,lon,lat,r1
276,Mykines,-7.647,62.104,94
39,Nordradalur,-6.924,62.04,39
55,Troellanes,-6.784,62.362,24
55,Skala,-6.786,62.163,39
66,Toftir,-6.734,62.085,28
39,Boeur,-7.37,62.088,24
134,Soervagur,-7.302,62.075,66
94,Saksun,-7.177,62.248,28
24,Tjoernuvik,-7.148,62.29,20
66,Midvagur,-7.2,62.054,33
276,Vestmanna,-7.16,62.156,134
46,Haldorsvik,-7.092,62.277,20
28,Sandavagur,-7.146,62.056,20
94,Kvivik,-7.076,62.123,33
39,Svinair,-7.023,62.231,20
66,Streymnes,-7.026,62.193,55
39,Nordskali,-7,62.214,20
46,Funningur,-6.965,62.287,39
112,Gjogv,-6.942,62.326,28
39,Skaelingur,-7.006,62.095,28
39,Funningsfjoerdur,-6.927,62.238,33
46,Koltur,-6.97,61.989,28
39,Signaboeur,-6.919,62.098,20
79,Oyndarfjoerdur,-6.851,62.279,28
55,Kollafjoerdur,-6.892,62.122,46
33,Kaldbaksbotnur,-6.908,62.067,20
39,Selatrad,-6.877,62.16,24
33,Hellurnar,-6.842,62.264,20
66,Sydradalur,-6.912,62.019,20
55,Skalafjoerdur,-6.852,62.194,28
46,Hestur,-6.882,61.956,20
94,Mikladalur,-6.763,62.335,39
160,Skopun,-6.884,61.904,66
134,Hvalba,-6.952,61.604,55
55,Sandvik,-6.928,61.634,20
24,Nordragoeta,-6.741,62.201,20
33,Hvitanes,-6.775,62.044,20
66,Leirvik,-6.715,62.215,33
79,Kirkjuboeur,-6.792,61.954,28
39,Husar,-6.695,62.266,20
100000,Torshavn,-6.758,62.03,100000
397,Sandur,-6.816,61.835,160
66,Kunoy,-6.669,62.295,55
160,Saltangara,-6.717,62.12,66
46,Lamba,-6.705,62.143,20
39,Sydradalur,-6.664,62.247,20
66,Skugvoy,-6.805,61.771,46
55,Famjin,-6.878,61.525,28
39,Aeduvik,-6.693,62.07,20
24,Trongisvagur,-6.838,61.564,20
39,Haraldssund,-6.605,62.274,24
55,Nolsoy,-6.673,62.01,28
160,Tvoeroyri,-6.804,61.555,66
46,Oerdavik,-6.81,61.533,20
134,Stora Dimun,-6.753,61.685,66
331,Klaksvik,-6.583,62.226,134
1183,Vagur,-6.81,61.474,397
276,Vidareidi,-6.534,62.36,94
39,Husavik,-6.679,61.81,20
134,Hvannasund,-6.515,62.295,46
55,Hov,-6.752,61.508,20
66,Lopra,-6.769,61.443,28
39,Nordtoftir,-6.513,62.277,20
24,Akrar,-6.756,61.456,20
94,Gasadalur,-7.435,62.11,24
24,Vatnsoyrar,-7.249,62.075,20
276,Eidi,-7.095,62.301,94
24,Elduvik,-6.908,62.283,20
94,Hosvik,-6.942,62.153,28
94,Fuglafjoerdur,-6.806,62.247,79
66,Velbastadur,-6.854,61.983,46
55,Kaldbak,-6.83,62.06,28
24,Strendur,-6.762,62.107,20
33,Skarvanes,-6.745,61.793,20
134,Dalur,-6.681,61.784,20
46,Arnafjoerdur,-6.536,62.256,20
94,Skalavik,-6.663,61.83,55
33,Nordoyri,-6.542,62.214,20
24,Nes,-6.763,61.471,20
46,Porkeri,-6.739,61.484,28
160,Sumba,-6.714,61.406,66
66,Svinoy,-6.34,62.279,28
94,Kirkja,-6.316,62.32,66
28,Hattarvik,-6.274,62.33,20
