rmax,name,lon,lat
100000,Zürich,8.539,47.377
2127,Genève,6.154,46.197
856,Basel,7.606,47.557
595,Lausanne,6.632,46.527
1232,Bern,7.443,46.943
595,Luzern,8.302,47.059
240,Winterthur,8.734,47.502
714,St. Gallen,9.376,47.431
3062,Lugano,8.955,46.013
414,Biel/Bienne,7.253,47.134
288,Fribourg,7.151,46.798
414,Thun,7.635,46.748
240,Baar,8.513,47.183
595,Schaffhausen,8.633,47.697
496,Olten,7.912,47.343
414,Bellinzona-Monti di Padevilla,9.023,46.196
1027,Chur,9.526,46.857
288,Rapperswil-Jona,8.83,47.229
1027,Sion,7.358,46.231
414,Nyon,6.229,46.383
345,Monthey,6.948,46.264
240,Uzwil,9.137,47.441
345,Bulle,7.058,46.617
288,Brig-Glis-Unners Nesseltal,7.989,46.319
240,Martigny,7.071,46.099
240,Glarus Nord-Vogelgut,9.061,47.11
240,Interlaken,7.855,46.683
240,Habsburg,8.203,47.48
240,Langenthal,7.785,47.214
414,Altdorf (UR),8.644,46.871
240,Burg,8.181,47.252
345,Le Locle,6.753,47.056
288,Romanshorn,9.376,47.565
714,Celerina/Schlarigna-Alp dal Staz,9.854,46.511
414,Delémont,7.351,47.365
345,Davos,9.833,46.799
240,Langnau im Emmental,7.795,46.939
288,Schwyz,8.644,47.02
240,Möhlin,7.842,47.563
288,Murten,7.116,46.927
240,Val-de-Travers,6.605,46.911
414,Orbe,6.534,46.725
345,Biasca,8.965,46.36
496,Zermatt,7.749,46.021
