rs,name,lon,lat,r1
511,Levice,18.596,48.215,206
120,Nenince,19.26,48.145,100
172,Vinica,19.12,48.117,100
144,Kendice,21.245,48.925,100
172,Partizanske,18.358,48.629,100
206,Povazska Bystrica,18.443,49.117,144
355,Prievidza,18.624,48.772,247
355,Zvolen,19.139,48.575,144
120,Ocova,19.293,48.605,100
511,Roznava,20.527,48.658,247
172,Bytca,18.565,49.226,100
120,Velke Rovne,18.584,49.285,100
511,Cadca,18.791,49.439,172
144,Klokocov,18.571,49.45,120
296,Makov,18.474,49.369,100
206,Dolny Kubin,19.296,49.213,100
355,Papin,22.061,49.092,100
247,Detva,19.412,48.542,144
120,Cerovo,19.155,48.255,100
172,Dudince,18.888,48.167,100
172,Krupina,19.067,48.355,100
172,Sebechleby,18.954,48.276,100
735,Lucenec,19.67,48.329,296
172,Hrhov,20.751,48.606,100
144,Spisska Stara Ves,20.358,49.382,144
144,Streda nad Bodrogom,21.759,48.378,120
144,Radosovce,17.28,48.769,100
296,Skalica,17.225,48.845,120
426,Trnava,17.582,48.374,247
206,Petrovce,21.481,49,100
247,Gemersky Jablonec,19.979,48.195,100
511,Nove Zamky,18.162,47.987,247
247,Smolenice,17.427,48.504,100
172,Neporadza,20.387,48.363,100
120,Rimavska Sec,20.236,48.305,120
172,Medzev,20.894,48.698,100
172,Kamenin,18.644,47.888,100
120,Ziar nad Hronom,18.863,48.586,120
120,Sklene,18.826,48.785,100
2191,Zilina,18.74,49.216,882
120,Zlata Bana,21.418,48.95,100
206,Tuzina,18.615,48.895,100
120,Dohnany,18.286,49.147,100
296,Prochot,18.704,48.615,100
247,Plesivec,20.408,48.548,100
120,Slavosovce,20.277,48.715,100
120,Zazriva,19.15,49.259,100
172,Kysucke Nove Mesto,18.785,49.301,100
206,Sabinov,21.099,49.103,100
296,Liptovsky Mikulas,19.612,49.084,296
144,Kvacany,19.538,49.163,100
144,Nyrovce,18.577,48.022,100
172,Pukanec,18.722,48.351,100
172,Tekovske Luzany,18.538,48.099,100
144,Tlmace,18.538,48.29,100
172,Levoca,20.587,49.02,100
172,Torysky,20.676,49.097,100
144,Cabiny,21.905,49.175,100
206,Medzilaborce,21.905,49.272,120
144,Vranov nad Toplou,21.683,48.891,120
144,Cabov,21.643,48.804,100
120,Gelnica,20.942,48.856,100
172,Mnisek nad Hnilcom,20.805,48.798,100
120,Smolnik,20.736,48.726,100
355,Sala,17.872,48.149,144
247,Topolcany,18.172,48.56,206
120,Repiste,18.846,48.516,100
735,Bardejov,21.282,49.295,247
206,Kezmarok,20.429,49.134,100
144,Banovce nad Bebravou,18.26,48.722,100
120,Tisovec,19.944,48.678,100
206,Hertnik,21.237,49.207,100
172,Malcov,21.06,49.301,120
172,Sobrance,22.18,48.745,144
172,Zahor,22.207,48.625,100
247,Spisska Nova Ves,20.565,48.938,144
882,Banska Bystrica,19.147,48.739,355
172,Badin,19.125,48.655,100
144,Hrochot,19.308,48.657,100
144,Brusno,19.386,48.792,120
172,Vydrna,18.254,49.208,100
296,Velky Krtis,19.34,48.215,172
100000,Bratislava,17.119,48.154,100000
2629,Kosice,21.26,48.724,2191
120,Osadne,22.151,49.14,100
172,Snina,22.155,48.988,120
144,Ubla,22.393,48.895,100
355,Ulic,22.422,48.962,144
144,Zboj,22.481,49.027,100
296,Stara Lubovna,20.693,49.302,144
120,Circ,20.923,49.28,100
144,Mnisek nad Popradom,20.722,49.415,100
735,Trencin,18.038,48.893,355
120,Omsenie,18.226,48.901,100
120,Svinna,18.164,48.787,100
426,Komarno,18.134,47.763,172
120,Malinec,19.684,48.498,100
206,Poltar,19.796,48.433,100
511,Michalovce,21.906,48.749,355
144,Velke Levare,17.001,48.505,100
144,Lozorno,17.044,48.334,100
426,Malacky,17.02,48.438,144
172,Stupava,17.034,48.271,100
172,Velke Ripnany,17.977,48.495,100
144,Zavada,18.082,48.641,100
144,Kamenany,20.192,48.578,100
355,Revuca,20.115,48.685,206
247,Rimavska Sobota,20.017,48.385,172
120,Jovsa,22.092,48.815,100
144,Petrova,21.121,49.387,100
172,Myjava,17.567,48.751,100
296,Nove Mesto nad Vahom,17.836,48.766,120
144,Zborov,21.307,49.363,100
355,Humenne,21.906,48.938,144
120,Koskovce,21.958,49.046,100
120,Strelniky,19.393,48.723,100
247,Banska Stiavnica,18.909,48.448,100
120,Beluj,18.892,48.352,100
206,Brezno,19.64,48.803,206
247,Drabsko,19.654,48.651,100
247,Kecerovce,21.417,48.825,100
247,Trebisov,21.72,48.637,100
247,Michalany,21.622,48.508,100
247,Pezinok,17.27,48.29,120
247,Stropkov,21.651,49.203,100
206,Giraltovce,21.519,49.114,100
172,Klizska Nema,17.819,47.751,100
120,Marcelova,18.284,47.791,100
613,Nitra,18.079,48.302,511
172,Cifare,18.392,48.234,100
144,Kolinany,18.196,48.359,100
120,Zbehy,18.012,48.364,100
206,Kovacovce,19.458,48.1,100
144,Senec,17.387,48.215,100
247,Dunajska Streda,17.623,47.991,206
120,Balon,17.677,47.827,100
144,Jahodna,17.705,48.05,100
296,Zlate Moravce,18.396,48.379,120
172,Hlohovec,17.805,48.427,120
120,Pavcina Lehota,19.571,49.033,100
882,Poprad,20.301,49.051,511
120,Hranovnica,20.307,48.987,100
355,Zdiar,20.265,49.269,100
511,Presov,21.244,48.993,206
511,Piestany,17.824,48.587,172
426,Senica,17.37,48.681,247
120,Borsky Mikulas,17.213,48.63,100
120,Kuty,17.028,48.661,100
296,Sekule,17,48.599,100
172,Valca,18.849,49,100
144,Namestovo,19.482,49.41,100
355,Oravska Polhora,19.441,49.524,100
426,Liptovska Luzna,19.324,48.94,120
172,Ruzomberok,19.305,49.082,172
144,Gbely,17.117,48.719,100
120,Cierny Balog,19.652,48.747,100
144,Skalite,18.891,49.498,100
206,Gabcikovo,17.58,47.893,100
120,Zakamenne,19.281,49.379,100
296,Dobsina,20.367,48.819,120
120,Belusa,18.332,49.069,100
120,Cana,21.321,48.607,100
296,Sahy,18.95,48.07,206
144,Hurbanovo,18.194,47.875,100
247,Hnusta,19.956,48.575,100
247,Kralovsky Chlmec,21.98,48.424,120
120,Secovce,21.655,48.704,100
355,Velke Kapusany,22.077,48.554,144
206,Surany,18.179,48.089,100
355,Sturovo,18.715,47.8,296
120,Filakovo,19.822,48.272,100
172,Kolarovo,18.008,47.91,100
296,Moldava nad Bodvou,20.999,48.608,120
247,Samorin,17.316,48.029,120
172,Sered,17.736,48.286,100
247,Martin,18.921,49.083,100
144,Dubnica nad Váhom,18.169,48.96,100
144,Krompachy,20.894,48.921,144
120,Krásno nad Kysucou,18.837,49.372,100
206,Svidník,21.574,49.309,144
120,Svit,20.186,49.063,100
511,Tvrdošín,19.55,49.334,120
120,Spišská Belá,20.464,49.186,100
206,Turčianske Teplice,18.863,48.868,120
144,Vlčany,17.956,48.027,100
